LA Code,LA Name,Total number of employments furloughed ,
E09000002,Barking and Dagenham,25600,
E09000003,Barnet,48500,
E09000004,Bexley,26600,
E09000005,Brent,49900,
E09000006,Bromley,34400,
E09000007,Camden,20700,
E09000008,Croydon,44600,
E09000009,Ealing,49600,
E09000010,Enfield,42000,
E09000011,Greenwich,31400,
E09000012,Hackney,34000,
E09000013,Hammersmith and Fulham,22400,
E09000014,Haringey,42100,
E09000015,Harrow,30300,
E09000016,Havering,28900,
E09000017,Hillingdon,39500,
E09000018,Hounslow,42500,
E09000019,Islington,22800,
E09000020,Kensington and Chelsea,12000,
E09000021,Kingston upon Thames,19300,
E09000022,Lambeth,42300,
E09000023,Lewisham,36200,
E09000024,Merton,25300,
E09000025,Newham,53200,
E09000026,Redbridge,35900,
E09000027,Richmond upon Thames,18500,
E09000028,Southwark,39200,
E09000029,Sutton,23000,
E09000030,Tower Hamlets,37300,
E09000031,Waltham Forest,38800,
E09000032,Wandsworth,36200,
E09000033,Westminster,10900,
E09000001,City of London,10900,
